Year,Round,Driver,GridPosition,TeamTier,QualifyingDelta,FP2_PaceDelta,DriverForm,Podium
2022,1,LEC,1,1,0.0,,0.0,1
2022,1,SAI,3,1,0.12899999999999068,5.093500000000006,0.0,1
2022,1,HAM,5,1,0.4899999999999949,5.350999999999999,0.0,1
2022,1,RUS,9,1,0.6939999999999884,5.125,0.0,0
2022,1,MAG,7,3,0.9029999999999916,5.157000000000011,0.0,0
2022,1,BOT,6,3,1.0019999999999953,0.0,0.0,0
2022,1,OCO,11,2,1.2239999999999895,5.287000000000006,0.0,0
2022,1,TSU,16,2,2.191999999999993,5.793000000000006,0.0,0
2022,1,ALO,8,2,1.0629999999999882,5.011500000000012,0.0,0
2022,1,ZHO,15,3,1.934999999999988,2.152000000000001,0.0,0
2022,1,MSC,12,3,1.4399999999999977,6.348000000000013,0.0,0
2022,1,STR,19,2,2.4739999999999895,5.912000000000006,0.0,0
2022,1,ALB,14,3,2.1059999999999945,6.7690000000000055,0.0,0
2022,1,RIC,18,1,2.3869999999999862,14.266500000000008,0.0,0
2022,1,NOR,13,1,1.4499999999999886,6.098000000000013,0.0,0
2022,1,LAT,20,3,3.0759999999999934,6.546500000000009,0.0,0
2022,1,HUL,17,2,2.218999999999994,6.743000000000009,0.0,0
2022,1,PER,4,1,0.36299999999999955,4.879500000000007,0.0,0
2022,1,VER,2,1,0.12299999999999045,4.049000000000007,0.0,0
2022,1,GAS,10,2,1.0769999999999982,1.6340000000000003,0.0,0
2022,2,VER,4,1,0.2609999999999957,5.125,0.0,1
2022,2,LEC,2,1,0.024999999999991473,0.0,1.0,1
2022,2,SAI,3,1,0.20199999999999818,0.9909999999999997,0.6923076923076923,1
2022,2,PER,1,1,0.0,5.088999999999999,0.0,0
2022,2,RUS,6,1,0.9039999999999964,5.869,0.46153846153846156,0
2022,2,OCO,5,2,0.867999999999995,1.8969999999999914,0.23076923076923078,0
2022,2,NOR,11,1,1.4509999999999934,6.140000000000001,0.0,0
2022,2,GAS,9,2,1.054000000000002,2.346999999999994,0.0,0
2022,2,MAG,10,3,1.3460000000000036,3.6430000000000007,0.38461538461538464,0
2022,2,HAM,15,1,2.1430000000000007,5.6569999999999965,0.5769230769230769,0
2022,2,ZHO,12,3,1.6189999999999998,6.6754999999999995,0.038461538461538464,0
2022,2,HUL,17,2,2.3430000000000035,6.288499999999999,0.0,0
2022,2,STR,13,2,2.0559999999999974,8.50399999999999,0.0,0
2022,2,ALB,16,3,2.2920000000000016,4.319999999999993,0.0,0
2022,2,BOT,8,3,0.9830000000000041,5.325999999999993,0.3076923076923077,0
2022,2,ALO,7,2,0.9470000000000027,5.534999999999997,0.07692307692307693,0
2022,2,RIC,14,1,1.5729999999999933,2.086999999999989,0.0,0
2022,2,LAT,18,3,3.6169999999999902,3.405000000000001,0.0,0
2022,2,TSU,19,2,2.5,1.2560000000000002,0.15384615384615385,0
2022,2,MSC,20,3,1.7199999999999989,1.3960000000000008,0.0,0
2022,3,LEC,1,1,0.0,0.39099999999999113,0.8653846153846154,1
2022,3,PER,3,1,0.3719999999999999,3.2099999999999937,0.23076923076923078,1
2022,3,RUS,6,1,1.065000000000012,5.824999999999989,0.4230769230769231,1
2022,3,HAM,5,1,0.9570000000000078,6.765000000000001,0.3076923076923077,0
2022,3,NOR,4,1,0.835000000000008,4.711999999999989,0.11538461538461539,0
2022,3,RIC,7,1,1.1640000000000015,1.2860000000000014,0.0,0
2022,3,OCO,8,2,1.193000000000012,0.6559999999999917,0.2692307692307692,0
2022,3,BOT,12,3,1.3830000000000098,1.9029999999999916,0.15384615384615385,0
2022,3,GAS,11,2,1.358000000000004,0.0,0.07692307692307693,0
2022,3,ALB,20,3,2.26700000000001,3.2439999999999998,0.0,0
2022,3,ZHO,14,3,2.0420000000000016,2.850999999999999,0.019230769230769232,0
2022,3,STR,19,2,2.5,2.61399999999999,0.0,0
2022,3,MSC,15,3,2.236000000000004,2.7959999999999923,0.0,0
2022,3,MAG,16,3,2.38600000000001,4.744,0.23076923076923078,0
2022,3,TSU,13,2,1.5560000000000116,4.260999999999996,0.07692307692307693,0
2022,3,LAT,18,3,3.504000000000005,5.1569999999999965,0.0,0
2022,3,ALO,10,2,0.9470000000000027,3.73599999999999,0.038461538461538464,0
2022,3,VER,2,1,0.28600000000000136,3.1154999999999973,0.4807692307692308,0
2022,3,VET,17,2,3.281000000000006,,0.0,0
2022,3,SAI,9,1,0.6009999999999991,4.597999999999999,0.6346153846153846,0
2022,4,VER,1,1,0.0,0.0,0.32051282051282054,1
2022,4,PER,3,1,0.5030000000000001,0.23499999999999943,0.38461538461538464,1
2022,4,NOR,5,1,0.5009999999999906,1.4200000000000017,0.20512820512820512,1
2022,4,RUS,11,1,1.5899999999999892,1.8670000000000044,0.47435897435897434,0
2022,4,BOT,7,3,1.3989999999999867,1.4839999999999947,0.15384615384615385,0
2022,4,LEC,2,1,0.0030000000000001137,0.11499999999999488,0.9102564102564102,0
2022,4,TSU,12,2,1.6809999999999974,2.0130000000000052,0.05128205128205128,0
2022,4,VET,13,2,1.1639999999999873,2.1700000000000017,0.0,0
2022,4,MAG,8,3,1.1089999999999947,1.7999999999999972,0.15384615384615385,0
2022,4,STR,15,2,1.5489999999999924,2.1359999999999957,0.0,0
2022,4,ALB,18,3,2.5,2.254000000000005,0.01282051282051282,0
2022,4,GAS,17,2,1.938999999999993,2.0349999999999966,0.07692307692307693,0
2022,4,HAM,14,1,1.6769999999999925,2.1899999999999977,0.358974358974359,0
2022,4,OCO,16,2,3.5449999999999875,2.040999999999997,0.2564102564102564,0
2022,4,ZHO,20,3,0.9369999999999976,,0.01282051282051282,0
2022,4,LAT,19,3,3.1779999999999973,2.683000000000007,0.0,0
2022,4,MSC,10,3,1.6289999999999907,1.7249999999999943,0.0,0
2022,4,RIC,6,1,1.1869999999999976,1.605000000000004,0.10256410256410256,0
2022,4,ALO,9,2,0.8019999999999925,1.7309999999999945,0.02564102564102564,0
2022,4,SAI,4,1,0.19699999999998852,0.936000000000007,0.4230769230769231,0
2022,5,VER,3,1,0.19499999999999318,,0.49038461538461536,1
2022,5,LEC,1,1,0.0,0.7955000000000041,0.7596153846153846,1
2022,5,SAI,2,1,0.18999999999999773,15.866500000000002,0.3173076923076923,1
2022,5,PER,4,1,0.23999999999999488,2.7480000000000047,0.46153846153846156,0
2022,5,RUS,12,1,1.3769999999999953,0.8700000000000045,0.47115384615384615,0
2022,5,HAM,6,1,0.8289999999999935,1.6750000000000114,0.2692307692307692,0
2022,5,BOT,5,3,0.6789999999999878,,0.21153846153846154,0
2022,5,OCO,20,2,2.5,1.6065000000000111,0.19230769230769232,0
2022,5,ALB,18,3,2.469999999999999,17.956000000000003,0.009615384615384616,0
2022,5,STR,20,2,1.1999999999999886,2.659000000000006,0.009615384615384616,0
2022,5,ALO,11,2,1.36399999999999,1.2290000000000134,0.019230769230769232,0
2022,5,TSU,9,2,1.1359999999999957,1.7830000000000013,0.09615384615384616,0
2022,5,RIC,14,1,1.5139999999999958,4.467000000000013,0.07692307692307693,0
2022,5,LAT,19,3,2.5289999999999964,2.8670000000000044,0.0,0
2022,5,MSC,15,3,1.6269999999999953,3.978500000000011,0.0,0
2022,5,MAG,16,3,2.178999999999988,0.980000000000004,0.1346153846153846,0
2022,5,VET,20,2,1.4179999999999922,2.8925000000000125,0.038461538461538464,0
2022,5,GAS,7,2,0.8939999999999912,1.3400000000000034,0.057692307692307696,0
2022,5,NOR,8,1,0.8379999999999939,0.0,0.2980769230769231,0
2022,5,ZHO,17,3,2.2239999999999895,1.3020000000000067,0.009615384615384616,0
2022,6,VER,2,1,0.3229999999999933,3.9309999999999974,0.5923076923076923,1
2022,6,PER,5,1,0.6700000000000017,0.7129999999999939,0.46153846153846156,1
2022,6,RUS,4,1,0.6430000000000007,4.503,0.45384615384615384,1
2022,6,SAI,3,1,0.4159999999999968,4.171999999999997,0.36923076923076925,0
2022,6,HAM,6,1,0.7620000000000005,4.292000000000002,0.27692307692307694,0
2022,6,BOT,7,3,0.8580000000000041,,0.2153846153846154,0
2022,6,OCO,12,2,1.8880000000000052,0.0,0.18461538461538463,0
2022,6,NOR,11,1,1.7210000000000036,,0.23846153846153847,0
2022,6,ALO,20,2,2.2930000000000064,5.265000000000001,0.015384615384615385,0
2022,6,TSU,13,2,1.8889999999999958,6.198999999999998,0.07692307692307693,0
2022,6,VET,16,2,2.2039999999999935,1.6679999999999922,0.03076923076923077,0
2022,6,RIC,9,1,1.5370000000000061,,0.06153846153846154,0
2022,6,GAS,14,2,1.968999999999994,4.614999999999995,0.046153846153846156,0
2022,6,MSC,10,3,1.617999999999995,5.9495000000000005,0.0,0
2022,6,STR,17,2,2.6680000000000064,2.6809999999999974,0.015384615384615385,0
2022,6,LAT,19,3,3.1650000000000063,6.927499999999995,0.0,0
2022,6,MAG,8,3,0.9320000000000022,5.2109999999999985,0.1076923076923077,0
2022,6,ALB,18,3,2.894999999999996,6.971999999999994,0.023076923076923078,0
2022,6,ZHO,15,3,1.725999999999999,5.765000000000001,0.007692307692307693,0
2022,6,LEC,1,1,0.0,4.628,0.7461538461538462,0
2022,7,PER,3,1,0.2530000000000001,8.058000000000007,0.5064102564102564,1
2022,7,SAI,2,1,0.22499999999999432,5.653499999999994,0.38461538461538464,1
2022,7,VER,4,1,0.28999999999999204,4.0319999999999965,0.6538461538461539,1
2022,7,LEC,1,1,0.0,0.0,0.6217948717948718,0
2022,7,RUS,6,1,0.73599999999999,3.945999999999998,0.47435897435897434,0
2022,7,NOR,5,1,0.472999999999999,5.340000000000003,0.22435897435897437,0
2022,7,ALO,7,2,0.8709999999999951,2.2990000000000066,0.02564102564102564,0
2022,7,HAM,8,1,1.1839999999999975,4.552999999999997,0.2948717948717949,0
2022,7,BOT,12,3,1.5330000000000013,3.7579999999999956,0.23076923076923078,0
2022,7,VET,9,2,1.2369999999999948,6.036500000000004,0.02564102564102564,0
2022,7,GAS,17,2,2.283999999999992,5.209000000000003,0.038461538461538464,0
2022,7,OCO,10,2,1.152000000000001,3.531000000000006,0.19230769230769232,0
2022,7,RIC,14,1,1.5879999999999939,,0.05128205128205128,0
2022,7,STR,18,2,2.3019999999999925,6.141999999999996,0.01282051282051282,0
2022,7,LAT,19,3,3.027000000000001,7.766999999999996,0.0,0
2022,7,ZHO,20,3,4.22999999999999,4.6710000000000065,0.00641025641025641,0
2022,7,TSU,11,2,1.4209999999999923,6.185500000000005,0.07051282051282051,0
2022,7,ALB,16,3,2.2349999999999994,5.722999999999999,0.019230769230769232,0
2022,7,MSC,15,3,1.7049999999999983,8.183000000000007,0.0,0
2022,7,MAG,13,3,1.5450000000000017,7.241,0.08974358974358974,0
2022,8,VER,3,1,0.3470000000000084,0.0,0.6428571428571429,1
2022,8,PER,2,1,0.2820000000000107,2.5579999999999927,0.5714285714285714,1
2022,8,RUS,5,1,1.3530000000000086,4.6845,0.46153846153846156,1
2022,8,HAM,7,1,1.565000000000012,4.680499999999995,0.27472527472527475,0
2022,8,GAS,6,2,1.4860000000000042,1.6189999999999998,0.03296703296703297,0
2022,8,VET,9,2,1.7319999999999993,4.034999999999997,0.027472527472527472,0
2022,8,ALO,10,2,1.8140000000000072,4.2890000000000015,0.054945054945054944,0
2022,8,RIC,12,1,2.2150000000000034,6.606999999999999,0.04395604395604396,0
2022,8,NOR,11,1,2.0390000000000015,5.0049999999999955,0.24175824175824176,0
2022,8,OCO,13,2,2.225999999999999,2.6869999999999976,0.16483516483516483,0
2022,8,BOT,15,3,3.085000000000008,4.707499999999996,0.2087912087912088,0
2022,8,ALB,17,3,3.3599999999999994,3.6400000000000006,0.016483516483516484,0
2022,8,TSU,8,2,1.6970000000000027,1.0079999999999956,0.06043956043956044,0
2022,8,MSC,20,3,4.416000000000011,8.870999999999995,0.0,0
2022,8,LAT,18,3,4.00800000000001,2.2860000000000014,0.0,0
2022,8,STR,19,2,4.0120000000000005,4.6965,0.01098901098901099,0
2022,8,MAG,16,3,3.284000000000006,5.72699999999999,0.07692307692307693,0
2022,8,ZHO,14,3,2.4180000000000064,3.043999999999997,0.005494505494505495,0
2022,8,LEC,1,1,0.0,2.497,0.5989010989010989,0
2022,8,SAI,4,1,0.4549999999999983,2.924999999999997,0.42857142857142855,0
2022,9,VER,1,1,0.0,0.5549999999999926,0.6826923076923077,1
2022,9,SAI,3,1,0.796999999999997,2.9080000000000013,0.375,1
2022,9,HAM,4,1,1.5919999999999987,3.495999999999995,0.2980769230769231,1
2022,9,RUS,8,1,2.2579999999999956,1.9710000000000036,0.47596153846153844,0
2022,9,LEC,19,1,11.708999999999989,3.6310000000000002,0.5240384615384616,0
2022,9,OCO,7,2,2.2299999999999898,1.2920000000000016,0.14903846153846154,0
2022,9,BOT,11,3,5.48899999999999,,0.18269230769230768,0
2022,9,ZHO,10,3,2.7309999999999945,4.114000000000004,0.004807692307692308,0
2022,9,ALO,2,2,0.644999999999996,0.0,0.07692307692307693,0
2022,9,STR,17,2,14.23299999999999,3.4779999999999944,0.009615384615384616,0
2022,9,RIC,9,1,2.4499999999999886,1.733000000000004,0.057692307692307696,0
2022,9,VET,16,2,13.212999999999994,3.320999999999998,0.0625,0
2022,9,ALB,12,3,5.5589999999999975,3.727000000000004,0.014423076923076924,0
2022,9,GAS,15,2,13.192999999999998,2.7650000000000006,0.07692307692307693,0
2022,9,NOR,14,1,12.766999999999996,1.9719999999999942,0.22115384615384615,0
2022,9,LAT,18,3,14.36099999999999,3.804000000000002,0.0,0
2022,9,MAG,5,3,1.6609999999999872,2.1310000000000002,0.0673076923076923,0
2022,9,TSU,20,2,15.275999999999996,4.3289999999999935,0.052884615384615384,0
2022,9,MSC,6,3,2.056999999999988,4.8914999999999935,0.0,0
2022,9,PER,13,1,11.827999999999989,3.4650000000000034,0.5913461538461539,0
2022,10,SAI,1,1,1.0609999999999928,2.816999999999993,0.41452991452991456,1
2022,10,PER,4,1,1.391999999999996,,0.5256410256410257,1
2022,10,HAM,5,1,1.2989999999999924,3.097999999999999,0.32905982905982906,1
2022,10,LEC,3,1,0.7169999999999987,3.0234999999999985,0.5085470085470085,0
2022,10,ALO,7,2,2.468999999999994,2.2879999999999967,0.07692307692307693,0
2022,10,NOR,6,1,2.3859999999999957,3.9329999999999927,0.19658119658119658,0
2022,10,VER,2,1,0.0,15.384999999999991,0.7136752136752137,0
2022,10,MSC,19,3,3.5789999999999935,0.0,0.0,0
2022,10,VET,18,2,3.536999999999992,3.754499999999993,0.05555555555555555,0
2022,10,MAG,17,3,3.030000000000001,2.4539999999999935,0.05982905982905983,0
2022,10,STR,20,2,4.301000000000002,5.340999999999994,0.01282051282051282,0
2022,10,LAT,10,3,2.8689999999999998,5.100999999999999,0.0,0
2022,10,RIC,14,1,2.804000000000002,4.074999999999989,0.05128205128205128,0
2022,10,TSU,13,2,2.763999999999996,0.3219999999999885,0.04700854700854701,0
2022,10,OCO,15,2,2.600999999999999,2.3029999999999973,0.16666666666666666,0
2022,10,GAS,11,2,2.551000000000002,0.4679999999999893,0.06837606837606838,0
2022,10,BOT,12,3,2.266999999999996,3.810999999999993,0.18803418803418803,0
2022,10,RUS,8,1,0.8990000000000009,3.5659999999999883,0.47435897435897434,0
2022,10,ZHO,9,3,1.661999999999992,4.096999999999994,0.021367521367521368,0
2022,10,ALB,16,3,2.948999999999998,13.822499999999991,0.01282051282051282,0
2022,11,LEC,2,1,0.029000000000010573,0.0,0.5038461538461538,1
2022,11,VER,1,1,0.0,0.0024999999999977263,0.6653846153846154,1
2022,11,HAM,8,1,0.49099999999999966,1.4155000000000086,0.3576923076923077,1
2022,11,RUS,4,1,0.44700000000000273,0.4615000000000009,0.4269230769230769,0
2022,11,OCO,6,2,0.7420000000000044,1.338000000000008,0.15,0
2022,11,MSC,9,3,1.027000000000001,1.5400000000000063,0.015384615384615385,0
2022,11,NOR,10,1,1.3460000000000036,1.402000000000001,0.2076923076923077,0
2022,11,MAG,7,3,0.8950000000000102,1.5625,0.057692307692307696,0
2022,11,RIC,11,1,1.6290000000000049,1.3795000000000073,0.046153846153846156,0
2022,11,ALO,19,2,1.0320000000000107,,0.1076923076923077,0
2022,11,BOT,20,3,1.335000000000008,1.5120000000000005,0.16923076923076924,0
2022,11,ALB,15,3,1.2460000000000093,1.7674999999999983,0.011538461538461539,0
2022,11,STR,12,2,1.8629999999999995,1.7745000000000033,0.011538461538461539,0
2022,11,ZHO,13,3,1.9170000000000016,1.6400000000000006,0.019230769230769232,0
2022,11,GAS,14,2,1.176000000000002,1.6910000000000025,0.06153846153846154,0
2022,11,TSU,16,2,1.4789999999999992,2.040999999999997,0.04230769230769231,0
2022,11,VET,18,2,2.0990000000000038,1.7950000000000017,0.057692307692307696,0
2022,11,SAI,3,1,0.08200000000000784,0.1664999999999992,0.46923076923076923,0
2022,11,LAT,17,3,2.0190000000000055,2.7150000000000034,0.0,0
2022,11,PER,5,1,1.159000000000006,0.5940000000000083,0.5423076923076923,0
2022,12,VER,2,1,0.30400000000000205,2.2730000000000103,0.6713286713286714,1
2022,12,HAM,4,1,0.8930000000000007,,0.3776223776223776,1
2022,12,RUS,6,1,1.2590000000000003,,0.43006993006993005,1
2022,12,PER,3,1,0.46299999999999386,,0.493006993006993,0
2022,12,SAI,19,1,0.20900000000000318,3.1555000000000035,0.42657342657342656,0
2022,12,ALO,7,2,1.6800000000000068,3.769500000000008,0.10139860139860139,0
2022,12,NOR,5,1,1.1599999999999966,4.267499999999998,0.2097902097902098,0
2022,12,OCO,10,2,2.176000000000002,4.6285000000000025,0.17132867132867133,0
2022,12,RIC,9,1,2.049999999999997,4.861000000000004,0.04895104895104895,0
2022,12,STR,15,2,2.566999999999993,2.3830000000000098,0.01048951048951049,0
2022,12,VET,12,2,2.4039999999999964,1.757000000000005,0.05244755244755245,0
2022,12,GAS,14,2,2.566999999999993,0.0,0.055944055944055944,0
2022,12,ALB,13,3,2.4350000000000023,4.146000000000001,0.01048951048951049,0
2022,12,BOT,11,3,2.162000000000006,15.3275,0.15384615384615385,0
2022,12,MSC,17,3,2.8289999999999935,5.769500000000008,0.04195804195804196,0
2022,12,ZHO,16,3,2.8020000000000067,0.8329999999999984,0.017482517482517484,0
2022,12,LAT,18,3,2.921999999999997,2.855000000000004,0.0,0
2022,12,MAG,20,3,1.777000000000001,4.790000000000006,0.06643356643356643,0
2022,12,LEC,1,1,0.0,3.118000000000009,0.5454545454545454,0
2022,12,TSU,8,2,1.9080000000000013,4.070999999999998,0.038461538461538464,0
2022,13,VER,10,1,0.3260000000000076,4.396999999999991,0.6955128205128205,1
2022,13,HAM,7,1,0.6580000000000013,,0.40384615384615385,1
2022,13,RUS,1,1,0.0,5.501999999999995,0.4423076923076923,1
2022,13,SAI,2,1,0.04400000000001114,3.7039999999999935,0.42628205128205127,0
2022,13,PER,11,1,1.13900000000001,4.869,0.49038461538461536,0
2022,13,LEC,3,1,0.18999999999999773,3.7920000000000016,0.5,0
2022,13,NOR,4,1,0.3920000000000101,2.283999999999992,0.21153846153846154,0
2022,13,ALO,6,2,0.527000000000001,5.360500000000002,0.11858974358974358,0
2022,13,OCO,5,2,0.6410000000000053,0.0,0.16987179487179488,0
2022,13,VET,18,2,1.8960000000000008,4.676500000000004,0.04807692307692308,0
2022,13,STR,14,2,1.7600000000000051,4.408999999999992,0.01282051282051282,0
2022,13,GAS,20,2,2.1500000000000057,5.313000000000002,0.05128205128205128,0
2022,13,ZHO,12,3,1.195999999999998,5.658000000000001,0.016025641025641024,0
2022,13,MSC,15,3,1.7870000000000061,7.331000000000003,0.038461538461538464,0
2022,13,RIC,9,1,0.820999999999998,4.289999999999992,0.05128205128205128,0
2022,13,MAG,13,3,1.4480000000000075,3.872,0.060897435897435896,0
2022,13,ALB,17,3,1.8790000000000049,6.256,0.009615384615384616,0
2022,13,LAT,19,3,2.192999999999998,6.030999999999992,0.0,0
2022,13,TSU,16,2,1.8629999999999995,5.662999999999997,0.035256410256410256,0
2022,13,BOT,8,3,0.7800000000000011,5.501000000000005,0.14102564102564102,0
2022,14,VER,14,1,0.0,,0.7159763313609467,1
2022,14,PER,2,1,0.796999999999997,,0.4822485207100592,1
2022,14,SAI,1,1,0.6319999999999908,,0.4289940828402367,1
2022,14,RUS,5,1,1.7959999999999923,3.881999999999991,0.4526627218934911,0
2022,14,ALO,3,2,1.7029999999999887,,0.12130177514792899,0
2022,14,LEC,15,1,0.8859999999999957,3.522999999999996,0.48520710059171596,0
2022,14,OCO,16,2,1.5150000000000006,1.6730000000000018,0.16272189349112426,0
2022,14,VET,10,2,2.678999999999988,6.884,0.047337278106508875,0
2022,14,GAS,20,2,2.161999999999992,0.6189999999999998,0.047337278106508875,0
2022,14,ALB,6,3,2.006999999999991,,0.008875739644970414,0
2022,14,STR,9,2,2.590999999999994,,0.011834319526627219,0
2022,14,NOR,17,1,1.9379999999999882,,0.21301775147928995,0
2022,14,TSU,20,2,3.026999999999987,1.671999999999997,0.03254437869822485,0
2022,14,ZHO,18,3,2.4199999999999875,1.9039999999999964,0.014792899408284023,0
2022,14,RIC,7,1,2.1019999999999897,,0.047337278106508875,0
2022,14,MAG,12,3,2.891999999999996,,0.05621301775147929,0
2022,14,MSC,19,3,2.6769999999999925,2.825000000000003,0.03550295857988166,0
2022,14,LAT,11,3,2.73599999999999,,0.0,0
2022,14,BOT,13,3,4.200999999999993,0.0,0.1301775147928994,0
2022,14,HAM,4,1,1.7549999999999955,,0.4289940828402367,0
